Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
F;58455;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Officer III;2013
F;115324.45;Community Use of Public Facilities;Finance and Administrative Support Team;Fulltime-Regular;Senior Information Technology Specialist;1999
M;66100.63;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2014
M;45767.7;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2015
M;92194.09;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Supervisor;1995
M;135343.18;Department of Finance;Tax Operations;Fulltime-Regular;Manager III;1999
M;135392;Department of Police;ISB Criminal Investigations Division Crime Laboratory Section;Fulltime-Regular;Manager III;2014
M;44300;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2015
F;55769.09;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Transit Coordinator;2006
F;81646.1;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2011
F;104717.28;Department of Health and Human Services;Adult Shelters;Fulltime-Regular;Social Worker IV;1989
M;27799.2;Department of Liquor Control;Milestone;Parttime-Regular;Liquor Store Clerk I;2016
M;52693;Fire and Rescue Services;Station 19;Fulltime-Regular;Firefighter/Rescuer III;2013
F;91751.37;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;1992
F;57231.78;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker II;2013
M;69495.42;Department of Health and Human Services;School Health Services;Fulltime-Regular;Administrative Specialist III;2007
F;88168;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;2004
M;80829;Department of Police;Field Services Bureau;Fulltime-Regular;Police Officer III;2003
F;97912;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;2000
M;53788;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2014
M;103708.64;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Shift Commander (Lieutenant);1992
F;60653.65;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Services Assistant;2001
M;51062.83;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative II;2006
M;93356;Department of Police;PSB 4th District Special Assignment Team;Fulltime-Regular;Police Sergeant;2003
F;73801;Office of Human Resources;Administrative Services Team;Fulltime-Regular;Administrative Specialist I;2006
M;62585;Fire and Rescue Services;Station 33;Fulltime-Regular;Firefighter/Rescuer III;2002
M;60639.11;Department of General Services;Fleet Management Services;Fulltime-Regular;Senior Supply Technician;2014
F;58448;Department of Public Libraries;Little Falls Library;Fulltime-Regular;Library Assistant I;1998
F;100382.71;Department of Finance;General Accounting;Fulltime-Regular;Senior Financial Specialist;2006
M;74713;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2002
F;25445;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;1998
F;60000;Department of Health and Human Services;Health Planning and Epidemiology;Fulltime-Regular;Program Manager I;2016
M;41781.91;Correction and Rehabilitation;PTS Intervention Program for Substance Abusers;Fulltime-Regular;Laboratory Assistant;2013
M;50910;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2014
M;92756.7;Department of Police;Field Services Bureau;Fulltime-Regular;Police Officer III;1995
F;37838.46;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2011
F;73301.22;Department of Police;ISB Criminal Investigations Division Crime Laboratory Section;Fulltime-Regular;Forensic Scientist;2014
F;39257.31;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
F;64853.44;Department of Transportation;Traffic Engineering and Operations;Fulltime-Regular;Executive Administrative Aide;2014
M;64141;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1999
F;83971.06;Department of Health and Human Services;School Based Health Centers;Fulltime-Regular;Community Health Nurse II;2008
M;77231;Fire and Rescue Services;Station 8;Fulltime-Regular;Master Firefighter/Rescuer;2008
F;86934.9;Ethics Commission;Administrative Support;Fulltime-Regular;Program Manager I;2013
M;46626.87;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
M;135392;Fire and Rescue Services;Information Technology;Fulltime-Regular;Manager III;2002
F;36797.13;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2014
M;70422;Fire and Rescue Services;Fleet Support;Fulltime-Regular;Senior Supply Technician;2000
M;107128.71;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Sergeant;1989
M;92756.7;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer III;1994
M;75453;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2005
F;36797.11;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2013
F;102664;Department of Finance;Accounts Receivable;Fulltime-Regular;Senior Financial Specialist;2002
F;96197.88;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Child Welfare Caseworker;1995
F;56462.68;Board of Elections;Polling Place Management;Fulltime-Regular;Principal Administrative Aide;2008
F;97912;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2004
M;70435;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2007
F;118400;Department of General Services;Building Design and Construction;Fulltime-Regular;Senior Architect;2009
M;65711.16;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Services Assistant;2001
F;84145.99;Department of Environmental Protection;Watershed Restoration and Capital Projects;Fulltime-Regular;Planning Specialist III;2009
M;118400;Department of Technology Services;ESOD Data Center Operations;Fulltime-Regular;Senior Information Technology Specialist;1999
M;171641;Office of Legislative Oversight;Director;Fulltime-Regular;Director Office of Legislative Oversight;2008
F;64465.03;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Services Aide III;2003
M;70358.59;Department of Police;FSB Security Services Division;Fulltime-Regular;Security Officer III (Sergeant);2002
M;62482.02;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2003
M;72902;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2006
M;63492.87;Department of General Services;Facilities Maintenance;Fulltime-Regular;Electrician I;2014
M;56922.23;Department of Liquor Control;Beer Warehouse Operations;Fulltime-Regular;Supply Technician III;2003
M;70211.81;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Information Technology Technician III;2007
M;47878.29;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Transit Information Systems Technician;2013
M;50910;Fire and Rescue Services;Station 15;Fulltime-Regular;Firefighter/Rescuer III;2014
M;68184;Office of Public Information;Web Content and Graphic Management;Fulltime-Regular;Visual Information Specialist;2016
F;78755.48;Department of Health and Human Services;Contract Team;Fulltime-Regular;Administrative Specialist III;2013
F;66065.23;Department of Police;FSB Traffic Division Automated Traffic Enforcement Section;Fulltime-Regular;Police Aide;1977
F;55123.38;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2004
F;69222.18;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Services Assistant;1991
F;44094.59;Department of Health and Human Services;Child Welfare Services;Parttime-Regular;Social Worker II;2000
M;103506;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Sergeant;1999
M;35368.71;Department of Liquor Control;Olney;Parttime-Regular;Liquor Store Clerk I;2005
M;56990;Fire and Rescue Services;Station 1;Fulltime-Regular;Firefighter/Rescuer III;2014
F;88436.5;Department of General Services;Property Management;Fulltime-Regular;Property Manager II;2014
M;30860;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Warehouse Worker;2015
F;60201.44;Department of Health and Human Services;Home Care Services;Fulltime-Regular;Principal Administrative Aide;1990
F;59888.68;Department of Health and Human Services;Medical Assistance Eligibility Services;Fulltime-Regular;Income Assistance Program Specialist II;2006
M;49922.96;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Services Aide III;2013
M;52693;Fire and Rescue Services;Station 12;Fulltime-Regular;Firefighter/Rescuer III;2011
M;104717.28;Department of Health and Human Services;Chief, Aging and Disability Services;Fulltime-Regular;Program Manager II;1984
F;48258.81;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
M;80829;Department of Police;FSB Special Operations Division Tactical Operations Section;Fulltime-Regular;Police Officer III;2003
F;89079;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;2005
M;58455;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2013
M;97912;Department of Health and Human Services;Juvenile Justice Services;Fulltime-Regular;Social Worker III;1999
M;44300;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2016
F;26208.35;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;1996
M;79747.75;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2003
M;70396;Fire and Rescue Services;Station 34;Fulltime-Regular;Firefighter/Rescuer III;2005
M;87497.4;Department of Health and Human Services;Emergency Housing Assistance;Fulltime-Regular;Social Worker III;2003
M;83611.44;Fire and Rescue Services;Station 18;Fulltime-Regular;Firefighter/Rescuer III;1993
F;69222.18;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Services Assistant;1995
M;49625.72;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2005
M;89079;Correction and Rehabilitation;DS MCCF Case Managers Unit 1;Fulltime-Regular;Correctional Specialist II;1999
F;58150.61;Department of Police;ISB Criminal Investigations Division 2nd District Investigative Section;Fulltime-Regular;Office Services Coordinator;2004
M;39257.31;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
F;71203.8;Department of Health and Human Services;Community Support Network for People with Disabilities;Fulltime-Regular;Administrative Specialist I;2006
M;117174.02;Fire and Rescue Services;Station 24;Fulltime-Regular;Fire/Rescue Captain;1992
M;107128.71;Department of Police;ISB Criminal Investigations Division 1st District Investigative Section;Fulltime-Regular;Police Sergeant;1990
M;95187.98;Fire and Rescue Services;Station 8;Fulltime-Regular;Master Firefighter/Rescuer;1988
F;42053.42;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
M;76015.03;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;1978
M;40631.32;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2011
F;79366.1;Department of Health and Human Services;Montgomery Cares;Fulltime-Regular;Program Manager II;2014
F;66443.06;Department of Housing and Community Affairs;Housing Landlord and Tenant Mediation;Fulltime-Regular;Investigator III;2013
F;89485;Fire and Rescue Services;Station 8;Fulltime-Regular;Firefighter/Rescuer III;1998
M;107256.43;Fire and Rescue Services;Station 34;Fulltime-Regular;Fire/Rescue Lieutenant;1989
M;49364;Sheriff Office;Court and Transport;Fulltime-Regular;Deputy Sheriff III;2015
M;113316;Fire and Rescue Services;Station 26;Fulltime-Regular;Fire/Rescue Captain;1997
M;101176.43;Fire and Rescue Services;Station 19;Fulltime-Regular;Fire/Rescue Lieutenant;1994
M;79728;Sheriff Office;Courthouse Security;Fulltime-Regular;Deputy Sheriff III;2002
M;56145.65;Department of Transportation;Transportation Management;Fulltime-Regular;Depot Supply Coordinator;2003
F;116139.35;Department of Recreation;Youth Development Youth Services;Fulltime-Regular;Manager III;2013
F;78128.59;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2015
M;62585;Fire and Rescue Services;Station 22;Fulltime-Regular;Firefighter/Rescuer III;2007
M;107128.71;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Sergeant;1995
M;138120.49;Ethics Commission;Executive Director;Fulltime-Regular;Manager II;2011
M;83658;Department of Police;PSB 2nd District Traffic Squad;Fulltime-Regular;Police Officer III;2003
F;83904.14;Office of Management and Budget;Process, Production and Technology;Fulltime-Regular;Administrative Specialist II;2013
M;135392;Office of Management and Budget;Tech Mod ERP Project Team;Fulltime-Regular;Manager III;2014
M;55328;Fire and Rescue Services;Station 22;Fulltime-Regular;Firefighter/Rescuer III;2013
M;65752;Department of Police;PSB 1st District Special Assignment Team;Fulltime-Regular;Police Officer III;2010
M;42053.83;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2014
F;20419.48;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2005
F;59072;Department of Health and Human Services;Juvenile Justice Services;Fulltime-Regular;Social Worker III;2015
F;65752;Department of Police;ISB Criminal Investigations Division Central Auto Theft Section;Fulltime-Regular;Police Officer III;2010
M;100878.6;Department of General Services;Energy and Sustainability;Fulltime-Regular;Manager III;2006
F;79459.87;Department of Health and Human Services;24 Hours Crisis Center;Fulltime-Regular;Behavioral Health Associate Counselor;1991
F;71176.06;Department of Recreation;Management Services;Fulltime-Regular;Administrative Specialist III;1998
M;93356;Department of Police;FSB Traffic Division Collision Reconstruction;Fulltime-Regular;Master Police Officer;2003
M;91751.37;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;1988
F;100849.36;Department of Public Libraries;Germantown Library;Fulltime-Regular;Librarian II;1984
F;87523.22;Department of Public Libraries;Rockville Library;Fulltime-Regular;Librarian I;1981
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
M;84201;Department of Police;PSB 5th District Community Action Team;Fulltime-Regular;Police Sergeant;2006
F;64871.95;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2011
M;66065.23;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1990
F;41953.24;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1995
M;92756.7;Department of Police;ISB Major Crimes Division Cold Case Section;Fulltime-Regular;Police Officer III;1995
M;120768;Department of Technology Services;ETSD Network Services;Fulltime-Regular;Senior Information Technology Specialist;1982
F;93396;Department of Health and Human Services;Contract Team;Fulltime-Regular;Program Manager I;1988
M;119713;Department of Police;MSB Management and Budget Division Fleet Management Section;Fulltime-Regular;Police Lieutenant;2002
F;100849.36;Department of Health and Human Services;Nursing Home Inspections;Fulltime-Regular;Community Health Nurse II;1993
M;94600;Department of Environmental Protection;Solid Waste Services Administration;Fulltime-Regular;Information Technology Specialist III;2016
M;83313.58;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2013
M;95425.38;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Senior Permitting Services Specialist;2006
M;42634.57;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Public Service Worker II;2004
M;61408;Fire and Rescue Services;Station 18;Fulltime-Regular;Firefighter/Rescuer III;2013
M;95187.98;Fire and Rescue Services;Station 14;Fulltime-Regular;Master Firefighter/Rescuer;1985
F;97912;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Health Nurse II;2000
M;46626.87;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
F;91065.13;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2001
F;37838.41;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
M;54379.75;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Urban District Public Service Team Supervisor;1998
M;131348.75;Fire and Rescue Services;Fire and Rescue Occupational Medical Services;Fulltime-Regular;Fire/Rescue Battalion Chief;1990
F;131348.75;Fire and Rescue Services;First Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1990
F;72247.77;Department of Police;MSB Communications Division;Fulltime-Regular;Administrative Specialist II;1999
F;91738.02;Department of Transportation;Transit COS Passenger Facilities;Fulltime-Regular;Program Manager I;2000
M;43525.72;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2013
F;41829;Department of Police;PSB 3rd District Patrol;Parttime-Regular;Police Officer III;2002
F;42118.95;Department of Health and Human Services;Infants and Toddlers;Fulltime-Regular;Program Aide;2013
M;80784;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2000
M;88168;Fire and Rescue Services;Station 6;Fulltime-Regular;Fire/Rescue Lieutenant;2004
F;85854;Fire and Rescue Services;Station 19;Fulltime-Regular;Master Firefighter/Rescuer;2002
F;136039.63;County Attorney Office;Insurance Defense Litigation;Fulltime-Regular;Assistant County Attorney III;1997
M;102664;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;1999
M;87523.22;Department of General Services;Facilities Maintenance;Fulltime-Regular;Maintenance Renovation and Inspection Specialist;1988
M;96763.35;Sheriff Office;Courthouse Security;Fulltime-Regular;Deputy Sheriff Sergeant;1996
M;81066;Department of Police;MSB Training and Education Division;Fulltime-Regular;Firearms Instructor;1999
F;54000;Department of Police;HQ Office of the Chief;Fulltime-Regular;Office Services Coordinator;2016
F;93643.25;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Administrative Specialist III;1992
M;52693;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2013
M;52563.37;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2005
F;46363.8;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Call-Taker II;2014
M;83658;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;2006
M;84974;Department of General Services;Facilities Maintenance;Fulltime-Regular;Master Plumber;2001
M;97560;Fire and Rescue Services;Station 13;Fulltime-Regular;Master Firefighter/Rescuer;2000
M;50211;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
M;70435;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2007
M;113380.15;Department of General Services;Building Design and Construction;Fulltime-Regular;Capital Projects Manager;2014
F;66515;Correction and Rehabilitation;DS Health Services;Fulltime-Regular;Correctional Health Nurse II;2006
F;57235.41;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Services Assistant;2010
M;39257.31;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2016
M;74815;Fire and Rescue Services;Station 21;Fulltime-Regular;Master Firefighter/Rescuer;2006
M;185000;Department of Transportation;Director Office;Fulltime-Regular;Deputy Director Transportation;2016
F;136713.45;Department of Transportation;Director Office;Fulltime-Regular;Manager II;2014
M;16049;Department of Police;MSB Personnel Division;Parttime-Regular;Police Cadet;2016
M;89620;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;2001
M;100849.36;Department of Health and Human Services;Behavioral Health Community Support Services;Fulltime-Regular;Therapist II;1991
F;89620;Department of Police;PSB 1st District Educational Facilities Officers;Fulltime-Regular;Police Officer III;1998
M;86083.36;Correction and Rehabilitation;PTS Supervision;Fulltime-Regular;Correctional Specialist III;1997
M;45406.47;Department of Transportation;Highway Services;Fulltime-Regular;Public Service Craftsworker;2010
M;59896.56;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
F;16610.68;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2015
M;89620;Department of Police;PSB 1st District Traffic Squad;Fulltime-Regular;Police Officer III;1999
M;57620;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
M;87841;Department of Police;ISB Criminal Investigations Division 1st District Investigative Section;Fulltime-Regular;Master Police Officer;2002
M;92756.7;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;1994
M;42053.42;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2015
F;135392;Department of Permitting Services;Land Development;Fulltime-Regular;Manager III;1996
M;56966.87;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2008
M;45048.5;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
F;88859;Fire and Rescue Services;Station 18;Fulltime-Regular;Master Firefighter/Rescuer;2001
F;38831.29;Department of Public Libraries;Silver Spring Library;Parttime-Regular;Librarian I;1998
F;48260.15;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2006
F;103708.64;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Shift Commander (Lieutenant);1995
M;56351.06;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2005
M;43525.72;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2008
M;45261;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
M;107128.71;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Sergeant;1996
M;131348.75;Fire and Rescue Services;Fifth Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1995
M;110229;Fire and Rescue Services;Station 15;Fulltime-Regular;Fire/Rescue Captain;1998
M;71602.58;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2003
M;92756.7;Department of Police;MSB Personnel Division;Fulltime-Regular;Police Officer III;1994
M;122788.02;Fire and Rescue Services;Station 16;Fulltime-Regular;Fire/Rescue Captain;1989
F;97912;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;1998
F;56305.92;Department of Police;ISB Criminal Investigations Division Forensic Services Section;Fulltime-Regular;Latent Print Examiner;2011
M;60048.75;Department of Health and Human Services;Adult Drug Court;Fulltime-Regular;Therapist II;2016
M;104717.6;Fire and Rescue Services;Station 19;Fulltime-Regular;Fire/Rescue Lieutenant;1985
M;144472.55;Fire and Rescue Services;Duty Operations Chief Office;Fulltime-Regular;Fire/Rescue Assistant Chief;1992
F;71174.58;Department of Public Libraries;Rockville Library;Fulltime-Regular;Senior Librarian;2012
M;52106.99;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2001
F;56850;Department of Recreation;Youth Development Youth Services;Fulltime-Regular;Recreation Specialist;2016
M;91751.37;Department of Transportation;Transportation System Engineering;Fulltime-Regular;Engineer III;1991
F;97912;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Public Relations Specialist;2008
M;42053.42;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
F;63820.41;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Permit Technician III;2005
F;77343;Department of Permitting Services;Building Construction Permit Processing;Fulltime-Regular;Permit Technician III;1996
F;46704.68;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Office Services Coordinator;2013
M;42146.57;Department of Public Libraries;Wheaton Library;Fulltime-Regular;Office Clerk;1987
M;58720;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2009
M;75453;Department of Police;FSB Traffic Division Alcohol Initiatives Section;Fulltime-Regular;Police Officer III;2005
F;97392.47;Department of Police;MSB Training and Education Division;Fulltime-Regular;Master Police Officer;1996
F;57807.08;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1994
M;83155.12;Department of Environmental Protection;Watershed Restoration and Capital Projects;Fulltime-Regular;Planning Specialist III;2011
M;118400;Department of Transportation;Transportation Planning and Design Section;Fulltime-Regular;Capital Projects Manager;2007
M;64141;Department of General Services;Facilities Maintenance;Fulltime-Regular;Public Service Craftsworker;2004
F;57807.08;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1995
M;55307.96;Department of Public Libraries;Rockville Library;Fulltime-Regular;Librarian I;2014
M;75277.02;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Work Force Leader II;1992
M;66065.23;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1990
M;40636.83;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Public Service Worker II;2005
M;49922.95;Department of Health and Human Services;Medication Assisted Treatment - Clinical and Vocational Services;Fulltime-Regular;Community Services Aide III;2013
M;67753;Fire and Rescue Services;Station 31;Fulltime-Regular;Firefighter/Rescuer III;2007
F;39257;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
M;58975.23;Department of Health and Human Services;School Health Services;Fulltime-Regular;Program Specialist II;2011
M;57315.42;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2002
M;68054;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2008
M;104717.28;Department of Environmental Protection;Solid Waste Services Collection Operations;Fulltime-Regular;Program Manager II;1988
F;107128.71;Department of Police;ISB Criminal Investigations Division 2nd District Investigative Section;Fulltime-Regular;Police Sergeant;1995
M;116124.02;Fire and Rescue Services;Safety;Fulltime-Regular;Fire/Rescue Captain;1992
M;70422;Department of Permitting Services;Building Construction Permit Processing;Fulltime-Regular;Permit Technician III;1998
M;110623.67;Department of Transportation;Transportation Construction Section;Fulltime-Regular;Manager III;2008
F;37869.3;Department of Health and Human Services;School Health Services Center;Parttime-Regular;Community Health Nurse II;2014
M;89620;Department of Police;PSB 1st District Special Assignment Team;Fulltime-Regular;Police Officer III;2001
M;56695.35;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
M;16610.72;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2015
F;64141;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1998
M;43525.72;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
M;49732.31;Department of General Services;Central Duplicating;Fulltime-Regular;Truck Driver/Warehouse Worker;2012
F;24978.81;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2000
M;82556;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2002
M;72861;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2004
F;88120.8;Department of Health and Human Services;Permanent Supportive Housing;Parttime-Regular;Social Worker III;1996
F;50201.32;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Safety and Training Instructor;2012
F;48145;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2015
M;85445;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2001
M;50699.15;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2006
F;41829;Department of Police;PSB 3rd District Patrol;Parttime-Regular;Police Officer III;2006
M;78096;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2005
M;42053.83;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
M;65716;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2007
M;125496.15;Fire and Rescue Services;Second Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1997
M;51969;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2015
F;55014.29;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Information and Referral Aide II;2008
M;156500.16;Department of Finance;Division of the Treasury;Fulltime-Regular;Manager II;1992
M;54797.84;Department of Police;FSB Animal Services Division;Fulltime-Regular;Code Enforcement Inspector III;2013
M;107128.71;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Sergeant;1992
