id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
2849,F,88272.4,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Therapist II,2002
2850,M,58455,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2013
2851,M,110229,Fire and Rescue Services,Station 40,Fulltime-Regular,Fire/Rescue Captain,2001
2852,M,103506,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Sergeant,1994
2853,F,96624,Department of Police,MSB Management and Budget Division Abandoned Vehicle Section,Fulltime-Regular,Master Police Officer,2003
2854,F,33534.54,County Council,Council Central Staff,Parttime-Regular,Principal Administrative Aide,1990
2855,M,61781.01,Department of General Services,Central Duplicating,Fulltime-Regular,Printing Technician III,2003
2856,F,66522.96,Correction and Rehabilitation,MSD Management Services Division,Fulltime-Regular,Office Services Coordinator,2001
2857,F,89000,County Attorney\'s Office,Human Resources and Appeals,Fulltime-Regular,Assistant County Attorney III,2016
2858,F,53968.5,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,2016
2859,M,69222.18,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Fiscal Assistant,1987
2860,F,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2015
2861,F,94745.69,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,2000
2862,F,41428.3,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Revenue Counter,2007
2863,M,42792,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Senior Supply Technician,2012
2864,M,67206,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Services Assistant,2002
2865,F,152652.89,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Manager II,2000
2866,M,88859,Fire and Rescue Services,Station 6,Fulltime-Regular,Master Firefighter/Rescuer,2001
2867,F,67724.61,Department of Health and Human Services,Rental Assistance,Fulltime-Regular,Accountant/Auditor I,2006
2868,F,18611.94,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Desk Assistant,2013
2869,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
2870,M,59740.47,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,2005
2871,M,56733,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2013
2872,M,107128.71,Department of Police,FSB Special Operations Division Canine Section,Fulltime-Regular,Police Sergeant,1994
2873,F,55734.65,Department of Transportation,Director Management Services,Fulltime-Regular,Office Services Coordinator,2013
2874,F,49068.12,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2016
2875,F,54270.46,Department of Health and Human Services,Disease Control - Immunization,Fulltime-Regular,Community Services Aide III,2007
2876,F,69222.18,Fire and Rescue Services,Procurement,Fulltime-Regular,Office Services Coordinator,1986
2877,M,78052,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,2002
2878,M,70295.69,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,2014
2879,F,106448.44,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Lieutenant,1989
2880,F,64141,Department of Health and Human Services,School Health Services Center,Fulltime-Regular,School Health Room Technician I,1997
2881,F,106456,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2000
2882,M,106456,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,2001
2883,F,24134.31,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2000
2884,F,109943.21,Department of Permitting Services,Customer Outreach and Education,Fulltime-Regular,Community Outreach Manager,1990
2885,M,135392,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Manager III,1988
2886,F,53495.77,Department of Liquor Control,Downtown Rockville,Fulltime-Regular,Liquor Store Assistant Manager,2006
2887,F,58455,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,2013
2888,M,84974,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,2001
2889,F,28490.44,Department of Public Libraries,Aspen Hill Library,Parttime-Regular,Librarian I,2008
2890,M,62482.02,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2003
2891,M,58455,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2013
2892,F,51958.37,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant Supervisor,2013
2893,M,58718.92,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2011
2894,F,38756.92,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,2014
2895,F,62300.19,County Council,Council Central Staff,Fulltime-Regular,Legislative Services Coordinator,2008
2896,F,33395.15,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Revenue Counter,2016
2897,F,20419.48,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2006
2898,M,123902.96,Department of Police,ISB Major Crimes Division,Fulltime-Regular,Police Lieutenant,1989
2899,M,71610,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,2008
2900,M,52693,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2013
2901,M,91969.07,Fire and Rescue Services,Station 4,Fulltime-Regular,Master Firefighter/Rescuer,1995
2902,F,23317.67,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2001
2903,F,57186,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2001
2904,M,42053.42,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2014
2905,M,48260.15,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2007
2906,F,56850,Department of Recreation,Youth Development Youth Services,Fulltime-Regular,Recreation Specialist,2016
2907,M,42386.82,Department of Liquor Control,King Farm,Fulltime-Regular,Liquor Store Clerk II,2008
2908,F,23318.28,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2001
2909,M,110229,Fire and Rescue Services,Station 23,Fulltime-Regular,Fire/Rescue Captain,1998
2910,M,110886.71,Department of Permitting Services,Land Development Sediment Stormwater Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1988
2911,M,57234.14,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2010
2912,M,91969.07,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,1992
2913,F,156525,Department of Public Libraries,Public Service Administration,Fulltime-Regular,Manager II,1986
2914,M,54523.02,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Principal Administrative Aide,2013
2915,M,36707.05,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2014
2916,M,118400,Department of Transportation,Director Management Services,Fulltime-Regular,Senior Information Technology Specialist,1999
2917,M,72497.95,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist II,1999
2918,M,156509.22,Department of Technology Services,Enterprise Applications and Solutions,Fulltime-Regular,Manager II,2002
2919,M,87148,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Sergeant,2005
2920,F,64189.2,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Specialist,2005
2921,F,49831.17,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2001
2922,M,89620,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1998
2923,F,50785.5,Department of Police,FSB Animal Services Division,Fulltime-Regular,Client Assistance Specialist,2015
2924,F,104717.28,Department of Health and Human Services,Health Care and Group Residential Services,Fulltime-Regular,Program Manager II,1977
2925,F,87236.83,Department of Health and Human Services,Director\'s Office,Fulltime-Regular,Planning Specialist III,2013
2926,M,149529.08,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Assistant Chief,1984
2927,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
2928,M,49618.43,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Program Specialist I,2013
2929,M,57265,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,2011
2930,M,55328,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,2013
2931,F,43850.22,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Office Services Coordinator,2014
2932,F,73958,Department of Police,HQ Office of the Chief,Fulltime-Regular,Master Police Officer,2007
2933,M,135392,Department of Health and Human Services,Adult Drug Court,Fulltime-Regular,Manager III,2004
2934,F,49104.52,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2013
2935,M,70884,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,2008
2936,F,57307.14,Department of Liquor Control,Cabin John,Fulltime-Regular,Liquor Store Assistant Manager,2004
2937,M,67922,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer III (Corporal),2002
2938,F,18416.48,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2012
2939,M,48572.17,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2014
2940,F,72534.66,Department of Permitting Services,Customer Service & Outreach,Fulltime-Regular,Permit Technician III,1988
2941,M,48260.26,Department of Liquor Control,King Farm,Fulltime-Regular,Liquor Store Assistant Manager,2008
2942,F,34743.89,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2004
2943,F,29779.06,Department of Liquor Control,Cabin John,Parttime-Regular,Liquor Store Clerk I,2012
2944,F,36992.05,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,2007
2945,M,68054,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,2008
2946,M,51355.08,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,2012
2947,M,43525.72,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2008
2948,F,76015.03,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,1990
2949,M,58455,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2013
2950,F,41954.12,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2005
2951,M,43433.04,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Motor Pool Attendant,2002
2952,M,46626.87,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
2953,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
2954,M,62835.65,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000
2955,M,39351.09,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,2014
2956,F,106461.04,Office of Human Rights,Compliance,Fulltime-Regular,Manager III,2009
2957,M,117174.02,Fire and Rescue Services,Station 5,Fulltime-Regular,Fire/Rescue Captain,1989
2958,F,115189.01,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager II,1990
2959,F,87523.22,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Program Specialist II,1991
2960,F,44300,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2016
2961,M,46626.87,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,2008
2962,M,88859,Fire and Rescue Services,Station 17,Fulltime-Regular,Master Firefighter/Rescuer,1999
2963,F,73801,Department of General Services,Office of the Director,Fulltime-Regular,Senior Executive Administrative Aide,2006
2964,M,43525.12,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012
2965,F,42662.89,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,2015
2966,M,62836.91,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000
2967,F,53050.89,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,2000
2968,F,35552.43,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2012
2969,M,86537.84,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer III,1988
2970,M,87967.15,Sheriff\'s Office,Attachments,Fulltime-Regular,Deputy Sheriff III,1994
2971,M,59120.89,Department of Recreation,Olney Indoor Pool,Fulltime-Regular,Recreation Specialist,2005
2972,F,104733.06,Department of Transportation,Highway Administration,Fulltime-Regular,Manager III,2016
2973,M,80895,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,2006
2974,F,54698.82,Department of Health and Human Services,Income Supports,Fulltime-Regular,Executive Administrative Aide,2004
2975,F,64433.29,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,2005
2976,F,69222.18,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,1994
2977,M,96763.35,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,1989
2978,F,98060,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,1998
2979,M,121167.06,Fire and Rescue Services,Station 32,Fulltime-Regular,Fire/Rescue Captain,1986
2980,M,97912,Department of General Services,Fleet Management Administration,Fulltime-Regular,Equipment Services Coordinator,2005
2981,F,49831,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014
2982,F,58720,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2012
2983,M,73801,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2003
2984,M,56688.39,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2003
2985,M,110000,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,2016
2986,M,57265,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,2010
2987,F,72185,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2003
2988,M,79138.34,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2002
2989,M,52947,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,2014
2990,M,51069.59,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,2014
2991,F,38085.01,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2013
2992,F,77328,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),2001
2993,M,45048.5,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2007
2994,M,78855.57,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Transit Marketing Specialist,2007
2995,F,140794,County Attorney\'s Office,'Zoning,Land Use and Economic Development',Fulltime-Regular,Assistant County Attorney III,2000
2996,F,85405,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,1999
2997,M,83497.98,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Information Technology Specialist I,1990
2998,F,100849.36,Department of Health and Human Services,Head Start/Pre-K (Health),Fulltime-Regular,Community Health Nurse II,1988
2999,M,55122.12,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2004
3000,F,120600,Department of Finance,Insurance,Fulltime-Regular,Manager III,1989
3001,M,89620,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1999
3002,M,58657.24,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2001
3003,M,78889.86,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Operations Supervisor,1978
3004,M,48260.15,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006
3005,F,92663.69,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,1996
3006,F,43761.61,Department of Public Libraries,Potomac Library,Parttime-Regular,Librarian I,1993
3007,M,48503.21,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,2013
3008,F,43525.72,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013
3009,M,33017,Department of Liquor Control,White Oak,Parttime-Regular,Liquor Store Clerk I,2005
3010,M,45048.5,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012
3011,M,39561.58,Department of Liquor Control,Fallsgrove,Fulltime-Regular,Liquor Store Clerk II,2012
3012,F,53493.02,Department of Liquor Control,Customer Service,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,2006
3013,M,40919,Department of Health and Human Services,Facilities and Logistical Services,Fulltime-Regular,Office Clerk,2000
3014,M,110886.71,Department of Permitting Services,Land Development Sediment Stormwater Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,1988
3015,M,70052,Fire and Rescue Services,Station 7,Fulltime-Regular,Firefighter/Rescuer III,2006
3016,F,80829,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Police Officer III,2003
3017,M,92756.7,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1993
3018,M,70396,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer III,2005
3019,F,52953.44,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2001
3020,M,29779.07,Department of Liquor Control,Cloverly,Parttime-Regular,Liquor Store Clerk I,2011
3021,M,87523.22,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,1989
3022,M,110213.2,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Manager III,2012
3023,F,100849.36,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker III,1994
3024,F,73000,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,Fulltime-Regular,Social Worker III,2016
3025,F,95236.02,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,2006
3026,F,52563.37,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,2014
3027,F,60775,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2008
3028,F,69222.18,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Office Services Coordinator,1988
3029,M,68423.48,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,2009
3030,F,73888.38,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Client Assistance Specialist,2006
3031,M,42378.72,Department of Liquor Control,Clarksburg Village,Fulltime-Regular,Liquor Store Clerk II,2008
3032,M,55370.43,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,2004
3033,F,90510.64,Department of Public Libraries,Potomac Library,Fulltime-Regular,Librarian II,1993
3034,M,87354,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Fire/Rescue Lieutenant,2006
3035,M,69222.18,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,1985
3036,M,70884,Fire and Rescue Services,Station 26,Fulltime-Regular,Firefighter/Rescuer III,2008
3037,F,89952.8,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,2008
3038,M,76716,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,2006
3039,M,50785.5,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Assistant Supervisor,2007
3040,F,66477.89,Community Use of Public Facilities,Silver Spring Civic Building,Fulltime-Regular,Administrative Specialist II,2013
3041,F,54000,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,2016
3042,M,99792,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Lieutenant,2000
3043,M,56733,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),2013
3044,M,118400,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,2005
3045,M,46626.87,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
3046,M,54814,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2014
3047,M,70422,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,1998
3048,M,60501,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2012
3049,M,85218.86,Department of Health and Human Services,Income Supports,Fulltime-Regular,Accountant/Auditor III,2000
3050,M,102664,Office of Procurement,'Living Wage,Prevailing Wage and Equal Benefits',Fulltime-Regular,Program Manager II,2004
3051,F,60711.33,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2000
3052,M,102664,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Manager,1996
3053,F,60601.73,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,2008
3054,F,143590.61,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,2007
3055,M,42053.42,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2014
3056,M,70884,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,2007
3057,M,95559,Fire and Rescue Services,Station 15,Fulltime-Regular,Fire/Rescue Lieutenant,2004
3058,F,52260,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,2016
3059,M,85828.93,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,1995
3060,M,102664,Fire and Rescue Services,Fire Chief\'s Executive Office,Fulltime-Regular,Program Manager II,1989
3061,F,47940.15,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Associate,2011
3062,M,87523.22,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,1988
3063,M,74448.93,Department of Liquor Control,Hampden Lane,Fulltime-Regular,Liquor Store Manager,2002
3064,M,75277.02,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,1989
3065,M,74424,Sheriff\'s Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,2004
3066,M,73801,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2004
3067,M,73801,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2000
3068,M,80145,Fire and Rescue Services,Station 3,Fulltime-Regular,Master Firefighter/Rescuer,2004
3069,F,54797.79,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,2013
3070,F,83198.5,Department of Recreation,Special Events,Fulltime-Regular,Recreation Specialist,1984
3071,M,155693.29,Department of Police,PSB 5th District Station,Fulltime-Regular,Police Captain,1989
3072,M,135392,Correction and Rehabilitation,DS MCCF Custody and Security,Fulltime-Regular,Manager III,1984
3073,M,135063.16,Department of Technology Services,COO Office - Project Mangement Office,Fulltime-Regular,Manager III,2003
3074,M,69472.11,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,2007
3075,M,98523,Fire and Rescue Services,Station 25,Fulltime-Regular,Fire/Rescue Lieutenant,2002
3076,M,90558.17,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,2001
3077,F,47344.63,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,2004
3078,F,97392.47,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Master Police Officer,1994
3079,F,52944.77,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,2014
3080,F,34350.14,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2015
3081,F,46000,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Refuse Disposal Cashier,2016
3082,F,89620,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,1998
3083,F,93396,Department of Health and Human Services,Community Support Network for People with Disabilities,Fulltime-Regular,Program Manager I,2003
3084,M,110886.71,Department of Permitting Services,Team 5 Green Building,Fulltime-Regular,Senior Permitting Services Specialist,1969
3085,F,66266.06,Correction and Rehabilitation,DS Inmate Records,Fulltime-Regular,Correctional Records Technician,1999
3086,M,118400,Department of Technology Services,ESOD Data Center Operations,Fulltime-Regular,Senior Information Technology Specialist,1996
3087,M,53722.42,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,2014
3088,F,77328,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2000
3089,M,118930,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Captain,2000
3090,F,43422.51,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2004
3091,F,29779.09,Department of Liquor Control,Cloverly,Parttime-Regular,Liquor Store Clerk I,2014
3092,F,58455,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2013
3093,M,105585.3,Department of Health and Human Services,Income Supports,Fulltime-Regular,Manager III,1998
3094,M,69429,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,2013
3095,M,27571.09,Department of Public Libraries,Twinbrook Library,Parttime-Regular,Library Assistant I,1998
3096,M,77343,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Survey Crew Leader,2006
3097,M,122788.02,Fire and Rescue Services,Fire and Rescue Occupational Medical Services,Fulltime-Regular,Fire/Rescue Captain,1990
3098,M,73628.44,Department of Transportation,Transit COS Passenger Facilities,Fulltime-Regular,Work Force Leader II,2001
3099,F,156525,Department of Health and Human Services,School Health Services,Fulltime-Regular,Manager II,1992
3100,M,89620,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,1999
3101,M,70884,Fire and Rescue Services,Rescue 2,Fulltime-Regular,Firefighter/Rescuer III,2008
3102,M,97392.47,Department of Police,FSB Traffic Division School Safety Section,Fulltime-Regular,Master Police Officer,1985
3103,F,96370.05,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker III,2004
3104,F,66985.25,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,2004
3105,F,69222.18,Department of Public Libraries,Marilyn J Praisner Library,Fulltime-Regular,Library Assistant II,1978
3106,M,72167,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer III,2006
3107,M,28772.07,Department of Liquor Control,Leisure World,Parttime-Regular,Liquor Store Clerk I,2015
3108,M,60711.33,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2001
3109,F,78059.57,Offices of the County Executive,County Executive\'s Office,Fulltime-Regular,Administrative Specialist II,2005
3110,M,46626.87,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,1999
3111,M,76744.8,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,2005
3112,M,56460.17,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2008
