;Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
1591;F; 20.419,48 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2005
1592;F; 59.072,00 ;Department of Health and Human Services;Juvenile Justice Services;Fulltime-Regular;Social Worker III;2015
1593;F; 65.752,00 ;Department of Police;ISB Criminal Investigations Division Central Auto Theft Section;Fulltime-Regular;Police Officer III;2010
1594;M; 100.878,60 ;Department of General Services;Energy and Sustainability;Fulltime-Regular;Manager III;2006
1595;F; 79.459,87 ;Department of Health and Human Services;24 Hours Crisis Center;Fulltime-Regular;Behavioral Health Associate Counselor;1991
1596;F; 71.176,06 ;Department of Recreation;Management Services;Fulltime-Regular;Administrative Specialist III;1998
1597;M; 93.356,00 ;Department of Police;FSB Traffic Division Collision Reconstruction;Fulltime-Regular;Master Police Officer;2003
1598;M; 91.751,37 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist III;1988
1599;F; 100.849,36 ;Department of Public Libraries;Germantown Library;Fulltime-Regular;Librarian II;1984
1600;F; 87.523,22 ;Department of Public Libraries;Rockville Library;Fulltime-Regular;Librarian I;1981
1601;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
1602;M; 84.201,00 ;Department of Police;PSB 5th District Community Action Team;Fulltime-Regular;Police Sergeant;2006
1603;F; 64.871,95 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2011
1604;M; 66.065,23 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1990
1605;F; 41.953,24 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1995
1606;M; 92.756,70 ;Department of Police;ISB Major Crimes Division Cold Case Section;Fulltime-Regular;Police Officer III;1995
1607;M; 120.768,00 ;Department of Technology Services;ETSD Network Services;Fulltime-Regular;Senior Information Technology Specialist;1982
1608;F; 93.396,00 ;Department of Health and Human Services;Contract Team;Fulltime-Regular;Program Manager I;1988
1609;M; 119.713,00 ;Department of Police;MSB Management and Budget Division Fleet Management Section;Fulltime-Regular;Police Lieutenant;2002
1610;F; 100.849,36 ;Department of Health and Human Services;Nursing Home Inspections;Fulltime-Regular;Community Health Nurse II;1993
1611;M; 94.600,00 ;Department of Environmental Protection;Solid Waste Services Administration;Fulltime-Regular;Information Technology Specialist III;2016
1612;M; 83.313,58 ;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2013
1613;M; 95.425,38 ;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Senior Permitting Services Specialist;2006
1614;M; 42.634,57 ;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Public Service Worker II;2004
1615;M; 61.408,00 ;Fire and Rescue Services;Station 18;Fulltime-Regular;Firefighter/Rescuer III;2013
1616;M; 95.187,98 ;Fire and Rescue Services;Station 14;Fulltime-Regular;Master Firefighter/Rescuer;1985
1617;F; 97.912,00 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Community Health Nurse II;2000
1618;M; 46.626,87 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
1619;F; 91.065,13 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2001
1620;F; 37.838,41 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2012
1621;M; 54.379,75 ;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Urban District Public Service Team Supervisor;1998
1622;M; 131.348,75 ;Fire and Rescue Services;Fire and Rescue Occupational Medical Services;Fulltime-Regular;Fire/Rescue Battalion Chief;1990
1623;F; 131.348,75 ;Fire and Rescue Services;First Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1990
1624;F; 72.247,77 ;Department of Police;MSB Communications Division;Fulltime-Regular;Administrative Specialist II;1999
1625;F; 91.738,02 ;Department of Transportation;Transit COS Passenger Facilities;Fulltime-Regular;Program Manager I;2000
1626;M; 43.525,72 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2013
1627;F; 41.829,00 ;Department of Police;PSB 3rd District Patrol;Parttime-Regular;Police Officer III;2002
1628;F; 42.118,95 ;Department of Health and Human Services;Infants and Toddlers;Fulltime-Regular;Program Aide;2013
1629;M; 80.784,00 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Firefighter/Rescuer III;2000
1630;M; 88.168,00 ;Fire and Rescue Services;Station 6;Fulltime-Regular;Fire/Rescue Lieutenant;2004
1631;F; 85.854,00 ;Fire and Rescue Services;Station 19;Fulltime-Regular;Master Firefighter/Rescuer;2002
1632;F; 136.039,63 ;"b""County Attorney\\s Office""";Insurance Defense Litigation;Fulltime-Regular;Assistant County Attorney III;1997
1633;M; 102.664,00 ;Office of Procurement;Procurement Operations Section;Fulltime-Regular;Procurement Specialist IV;1999
1634;M; 87.523,22 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Maintenance Renovation and Inspection Specialist;1988
1635;M; 96.763,35 ;"b""Sheriff\\s Office""";Courthouse Security;Fulltime-Regular;Deputy Sheriff Sergeant;1996
1636;M; 81.066,00 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Firearms Instructor;1999
1637;F; 54.000,00 ;Department of Police;HQ Office of the Chief;Fulltime-Regular;Office Services Coordinator;2016
1638;F; 93.643,25 ;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Administrative Specialist III;1992
1639;M; 52.693,00 ;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2013
1640;M; 52.563,37 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2005
1641;F; 46.363,80 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Call-Taker II;2014
1642;M; 83.658,00 ;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;2006
1643;M; 84.974,00 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Master Plumber;2001
1644;M; 97.560,00 ;Fire and Rescue Services;Station 13;Fulltime-Regular;Master Firefighter/Rescuer;2000
1645;M; 50.211,00 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Officer Candidate;2016
1646;M; 70.435,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2007
1647;M; 113.380,15 ;Department of General Services;Building Design and Construction;Fulltime-Regular;Capital Projects Manager;2014
1648;F; 66.515,00 ;Correction and Rehabilitation;DS Health Services;Fulltime-Regular;Correctional Health Nurse II;2006
1649;F; 57.235,41 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Services Assistant;2010
1650;M; 39.257,31 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2016
1651;M; 74.815,00 ;Fire and Rescue Services;Station 21;Fulltime-Regular;Master Firefighter/Rescuer;2006
1652;M; 185.000,00 ;Department of Transportation;"b""Director\\s Office""";Fulltime-Regular;Deputy Director Transportation;2016
1653;F; 136.713,45 ;Department of Transportation;"b""Director\\s Office""";Fulltime-Regular;Manager II;2014
1654;M; 16.049,00 ;Department of Police;MSB Personnel Division;Parttime-Regular;Police Cadet;2016
1655;M; 89.620,00 ;Department of Police;FSB Special Operations Division Canine Section;Fulltime-Regular;Police Officer III;2001
1656;M; 100.849,36 ;Department of Health and Human Services;Behavioral Health Community Support Services;Fulltime-Regular;Therapist II;1991
1657;F; 89.620,00 ;Department of Police;PSB 1st District Educational Facilities Officers;Fulltime-Regular;Police Officer III;1998
1658;M; 86.083,36 ;Correction and Rehabilitation;PTS Supervision;Fulltime-Regular;Correctional Specialist III;1997
1659;M; 45.406,47 ;Department of Transportation;Highway Services;Fulltime-Regular;Public Service Craftsworker;2010
1660;M; 59.896,56 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2008
1661;F; 16.610,68 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2015
1662;M; 89.620,00 ;Department of Police;PSB 1st District Traffic Squad;Fulltime-Regular;Police Officer III;1999
1663;M; 57.620,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2014
1664;M; 87.841,00 ;Department of Police;ISB Criminal Investigations Division 1st District Investigative Section;Fulltime-Regular;Master Police Officer;2002
1665;M; 92.756,70 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;1994
1666;M; 42.053,42 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2015
1667;F; 135.392,00 ;Department of Permitting Services;Land Development;Fulltime-Regular;Manager III;1996
1668;M; 56.966,87 ;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2008
1669;M; 45.048,50 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
1670;F; 88.859,00 ;Fire and Rescue Services;Station 18;Fulltime-Regular;Master Firefighter/Rescuer;2001
1671;F; 38.831,29 ;Department of Public Libraries;Silver Spring Library;Parttime-Regular;Librarian I;1998
1672;F; 48.260,15 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2006
1673;F; 103.708,64 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Shift Commander (Lieutenant);1995
1674;M; 56.351,06 ;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2005
1675;M; 43.525,72 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2008
1676;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
1677;M; 107.128,71 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Police Sergeant;1996
1678;M; 131.348,75 ;Fire and Rescue Services;Fifth Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1995
1679;M; 110.229,00 ;Fire and Rescue Services;Station 15;Fulltime-Regular;Fire/Rescue Captain;1998
1680;M; 71.602,58 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2003
1681;M; 92.756,70 ;Department of Police;MSB Personnel Division;Fulltime-Regular;Police Officer III;1994
1682;M; 122.788,02 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Fire/Rescue Captain;1989
1683;F; 97.912,00 ;Department of Health and Human Services;Adult Protective and Case Management Services;Fulltime-Regular;Social Worker III;1998
1684;F; 56.305,92 ;Department of Police;ISB Criminal Investigations Division Forensic Services Section;Fulltime-Regular;Latent Print Examiner;2011
1685;M; 60.048,75 ;Department of Health and Human Services;Adult Drug Court;Fulltime-Regular;Therapist II;2016
1686;M; 104.717,60 ;Fire and Rescue Services;Station 19;Fulltime-Regular;Fire/Rescue Lieutenant;1985
1687;M; 144.472,55 ;Fire and Rescue Services;"b""Duty Operations Chief\\s Office""";Fulltime-Regular;Fire/Rescue Assistant Chief;1992
1688;F; 71.174,58 ;Department of Public Libraries;Rockville Library;Fulltime-Regular;Senior Librarian;2012
1689;M; 52.106,99 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2001
1690;F; 56.850,00 ;Department of Recreation;Youth Development Youth Services;Fulltime-Regular;Recreation Specialist;2016
1691;M; 91.751,37 ;Department of Transportation;Transportation System Engineering;Fulltime-Regular;Engineer III;1991
1692;F; 97.912,00 ;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Public Relations Specialist;2008
1693;M; 42.053,42 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
1694;F; 63.820,41 ;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Permit Technician III;2005
1695;F; 77.343,00 ;Department of Permitting Services;Building Construction Permit Processing;Fulltime-Regular;Permit Technician III;1996
1696;F; 46.704,68 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Office Services Coordinator;2013
1697;M; 42.146,57 ;Department of Public Libraries;Wheaton Library;Fulltime-Regular;Office Clerk;1987
1698;M; 58.720,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Officer III (Corporal);2009
1699;M; 75.453,00 ;Department of Police;FSB Traffic Division Alcohol Initiatives Section;Fulltime-Regular;Police Officer III;2005
1700;F; 97.392,47 ;Department of Police;MSB Training and Education Division;Fulltime-Regular;Master Police Officer;1996
1701;F; 57.807,08 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1994
1702;M; 83.155,12 ;Department of Environmental Protection;Watershed Restoration and Capital Projects;Fulltime-Regular;Planning Specialist III;2011
1703;M; 118.400,00 ;Department of Transportation;Transportation Planning and Design Section;Fulltime-Regular;Capital Projects Manager;2007
1704;M; 64.141,00 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Public Service Craftsworker;2004
1705;F; 57.807,08 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1995
1706;M; 55.307,96 ;Department of Public Libraries;Rockville Library;Fulltime-Regular;Librarian I;2014
1707;M; 75.277,02 ;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Work Force Leader II;1992
1708;M; 66.065,23 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;1990
1709;M; 40.636,83 ;Community Engagement Cluster;Silver Spring Urban District;Fulltime-Regular;Public Service Worker II;2005
1710;M; 49.922,95 ;Department of Health and Human Services;Medication Assisted Treatment - Clinical and Vocational Services;Fulltime-Regular;Community Services Aide III;2013
1711;M; 67.753,00 ;Fire and Rescue Services;Station 31;Fulltime-Regular;Firefighter/Rescuer III;2007
1712;F; 39.257,00 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2016
1713;M; 58.975,23 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Program Specialist II;2011
1714;M; 57.315,42 ;Department of Liquor Control;Beer Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2002
1715;M; 68.054,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2008
1716;M; 104.717,28 ;Department of Environmental Protection;Solid Waste Services Collection Operations;Fulltime-Regular;Program Manager II;1988
1717;F; 107.128,71 ;Department of Police;ISB Criminal Investigations Division 2nd District Investigative Section;Fulltime-Regular;Police Sergeant;1995
1718;M; 116.124,02 ;Fire and Rescue Services;Safety;Fulltime-Regular;Fire/Rescue Captain;1992
1719;M; 70.422,00 ;Department of Permitting Services;Building Construction Permit Processing;Fulltime-Regular;Permit Technician III;1998
1720;M; 110.623,67 ;Department of Transportation;Transportation Construction Section;Fulltime-Regular;Manager III;2008
1721;F; 37.869,30 ;Department of Health and Human Services;School Health Services Center;Parttime-Regular;Community Health Nurse II;2014
1722;M; 89.620,00 ;Department of Police;PSB 1st District Special Assignment Team;Fulltime-Regular;Police Officer III;2001
1723;M; 56.695,35 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2008
1724;M; 16.610,72 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2015
1725;F; 64.141,00 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1998
1726;M; 43.525,72 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
1727;M; 49.732,31 ;Department of General Services;Central Duplicating;Fulltime-Regular;Truck Driver/Warehouse Worker;2012
1728;F; 24.978,81 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2000
1729;M; 82.556,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2002
1730;M; 72.861,00 ;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2004
1731;F; 88.120,80 ;Department of Health and Human Services;Permanent Supportive Housing;Parttime-Regular;Social Worker III;1996
1732;F; 50.201,32 ;Department of Transportation;Transit Safety and Instruction;Fulltime-Regular;Safety and Training Instructor;2012
1733;F; 48.145,00 ;Correction and Rehabilitation;DS MCCF Unit 2 Security;Fulltime-Regular;Correctional Officer III (Corporal);2015
1734;M; 85.445,00 ;Correction and Rehabilitation;DS MCCF Unit 1 Security;Fulltime-Regular;Correctional Supervisor (Sergeant);2001
1735;M; 50.699,15 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Bus Operator;2006
1736;F; 41.829,00 ;Department of Police;PSB 3rd District Patrol;Parttime-Regular;Police Officer III;2006
1737;M; 78.096,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2005
1738;M; 42.053,83 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
1739;M; 65.716,00 ;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2007
1740;M; 125.496,15 ;Fire and Rescue Services;Second Battalion - Administration;Fulltime-Regular;Fire/Rescue Battalion Chief;1997
1741;M; 51.969,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2015
1742;F; 55.014,29 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Information and Referral Aide II;2008
1743;M; 156.500,16 ;Department of Finance;Division of the Treasury;Fulltime-Regular;Manager II;1992
1744;M; 54.797,84 ;Department of Police;FSB Animal Services Division;Fulltime-Regular;Code Enforcement Inspector III;2013
1745;M; 107.128,71 ;Department of Police;PSB 6th District Patrol;Fulltime-Regular;Police Sergeant;1992
1746;F; 53.855,57 ;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Office Services Coordinator;2009
1747;M; 89.620,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2005
1748;F; 93.396,00 ;Department of Permitting Services;Site Plan Enforcement;Fulltime-Regular;Permitting and Code Enforcement Inspector III;2002
1749;F; 72.603,30 ;Department of Recreation;Office of the Director;Fulltime-Regular;Senior Executive Administrative Aide;1988
1750;M; 89.620,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2000
1751;M; 73.801,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2001
1752;M; 100.670,07 ;Fire and Rescue Services;Station 13;Fulltime-Regular;Master Firefighter/Rescuer;1990
1753;M; 48.258,81 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2007
1754;F; 41.954,12 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2006
1755;F; 73.801,00 ;Community Use of Public Facilities;Scheduling Team;Fulltime-Regular;Program Specialist I;2001
1756;M; 65.716,00 ;Fire and Rescue Services;Station 24;Fulltime-Regular;Firefighter/Rescuer III;2007
1757;F; 83.033,72 ;Department of Health and Human Services;Senior Nutrition Program;Fulltime-Regular;Program Manager I;2013
1758;M; 50.910,00 ;Fire and Rescue Services;Station 25;Fulltime-Regular;Firefighter/Rescuer III;2014
1759;M; 73.801,00 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;HVAC Mechanic I;2006
1760;M; 75.453,00 ;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;2005
1761;M; 50.910,00 ;Fire and Rescue Services;Station 33;Fulltime-Regular;Firefighter/Rescuer III;2014
1762;M; 80.829,00 ;Department of Police;FSB Special Operations Division Tactical Operations Section;Fulltime-Regular;Police Officer III;2003
1763;F; 21.030,74 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2004
1764;F; 104.717,28 ;Department of General Services;Administration and Budget;Fulltime-Regular;Management and Budget Specialist III;1987
1765;M; 90.038,06 ;Correction and Rehabilitation;PTS Supervision;Fulltime-Regular;Correctional Specialist III;2002
1766;F; 86.673,48 ;Department of Police;MSB Information Management and Technology Division;Fulltime-Regular;Administrative Specialist II;1989
1767;M; 70.422,00 ;Correction and Rehabilitation;DS Inmate Records;Fulltime-Regular;Correctional Records Technician;1998
1768;M; 112.266,00 ;Fire and Rescue Services;Station 29;Fulltime-Regular;Fire/Rescue Captain;1997
1769;M; 43.525,72 ;Department of Liquor Control;Liquor and Wine Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2013
1770;F; 58.448,00 ;Department of Health and Human Services;Jail Addiction Services;Fulltime-Regular;Principal Administrative Aide;2000
1771;F; 64.367,46 ;Office of Public Information;MC311;Fulltime-Regular;Customer Service Representative II;2000
1772;M; 60.468,00 ;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2008
1773;F; 57.807,08 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1993
1774;M; 39.351,09 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2014
1775;F; 60.201,44 ;Department of Public Libraries;White Oak Library;Fulltime-Regular;Library Assistant I;1993
1776;M; 87.523,22 ;Department of Permitting Services;Team 2 Residential Inspection;Fulltime-Regular;Permitting and Code Enforcement Inspector III;1987
1777;F; 30.100,72 ;Department of Public Libraries;Twinbrook Library;Parttime-Regular;Library Assistant I;1993
1778;M; 113.931,12 ;Office of Emergency Management and Homeland Security;Operations and Training;Fulltime-Regular;Manager III;2001
1779;M; 156.525,00 ;Office of Agriculture;Administration;Fulltime-Regular;Manager II;1988
1780;F; 102.664,00 ;Department of Health and Human Services;Child and Adolescent Mental Health Clinic Services;Fulltime-Regular;Supervisory Therapist;1998
1781;M; 114.087,02 ;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Captain;1993
1782;F; 68.862,58 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Program Specialist I;2005
1783;M; 68.015,00 ;Fire and Rescue Services;Station 11;Fulltime-Regular;Firefighter/Rescuer III;2006
1784;M; 87.523,22 ;Department of Transportation;Parking Management Engineering and Capital Project Management;Fulltime-Regular;Maintenance Renovation and Inspection Specialist;1987
1785;F; 63.496,54 ;Department of Health and Human Services;Adult Protective Services - Nurse Assessment;Fulltime-Regular;Office Services Coordinator;2003
1786;M; 45.261,00 ;Fire and Rescue Services;Recruit Training;Fulltime-Regular;Firefighter/Rescuer III;2016
1787;F; 87.841,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Master Police Officer;2002
1788;M; 42.153,85 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;2012
1789;M; 37.934,39 ;Community Engagement Cluster;Wheaton Urban District;Fulltime-Regular;Public Service Worker II;2007
1790;F; 49.618,44 ;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2010
1791;M; 76.015,03 ;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;1989
1792;M; 142.496,67 ;Department of Finance;Division of Fiscal Management;Fulltime-Regular;Manager II;2012
1793;F; 119.796,30 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Manager III;1997
1794;M; 159.266,00 ;Department of Health and Human Services;Chief, Behavioral Health and Crisis Services;Fulltime-Regular;Chief Behavioral Health and Crisis Services;2009
1795;M; 60.501,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2012
1796;M; 55.671,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2015
1797;M; 74.898,00 ;Fire and Rescue Services;Station 28;Fulltime-Regular;Firefighter/Rescuer III;2004
1798;F; 93.396,00 ;Fire and Rescue Services;Community Outreach Section;Fulltime-Regular;Program Manager I;2000
1799;M; 67.424,00 ;Fire and Rescue Services;Station 17;Fulltime-Regular;Firefighter/Rescuer III;2009
1800;M; 70.435,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2007
1801;F; 58.360,18 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker II;2015
1802;F; 58.867,84 ;Department of Public Libraries;Silver Spring Library;Fulltime-Regular;Librarian I;2015
1803;M; 73.801,00 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;HVAC Mechanic I;2005
1804;F; 48.616,35 ;"b""Sheriff\\s Office""";Sheriff Domestic Violence;Fulltime-Regular;Public Safety Telephone Reporting Aide I;2008
1805;M; 87.523,22 ;Department of Environmental Protection;Solid Waste Services Recycling;Fulltime-Regular;Program Specialist II;1990
1806;M; 44.475,41 ;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Warehouse Equipment Operator;2007
1807;M; 99.792,00 ;Fire and Rescue Services;Second Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;1999
1808;M; 97.560,00 ;Fire and Rescue Services;Station 6;Fulltime-Regular;Master Firefighter/Rescuer;1998
1809;F; 46.469,00 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;2000
1810;F; 56.180,52 ;Department of Police;HQ Office of the Chief Internal Affairs Division;Fulltime-Regular;Office Services Coordinator;2005
1811;M; 70.249,50 ;Department of Environmental Protection;Construction;Fulltime-Regular;Construction Representative III;2016
1812;M; 47.863,07 ;Department of General Services;Facilities Maintenance;Fulltime-Regular;Building Services Worker II;1993
1813;F; 29.779,07 ;Department of Liquor Control;Hampden Lane;Parttime-Regular;Liquor Store Clerk I;2008
1814;F; 78.391,99 ;Department of Health and Human Services;Child Welfare Services;Fulltime-Regular;Social Worker III;2012
1815;F; 55.976,97 ;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2012
1816;M; 81.066,00 ;Department of Environmental Protection;Solid Waste Services Operations;Fulltime-Regular;Code Enforcement Inspector III;2001
1817;F; 97.671,34 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;1999
1818;M; 72.185,00 ;Correction and Rehabilitation;DS MCCF Unit 3 Security;Fulltime-Regular;Correctional Officer III (Corporal);2003
1819;M; 60.711,33 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2001
1820;M; 66.065,23 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;1992
1821;F; 100.849,36 ;Department of Health and Human Services;Area Health Centers;Fulltime-Regular;Community Health Nurse II;1985
1822;M; 70.435,00 ;Department of Police;PSB 1st District Patrol;Fulltime-Regular;Police Officer III;2007
1823;M; 73.801,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2000
1824;M; 58.674,17 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2012
1825;F; 100.097,88 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Nurse Manager;2006
1826;M; 69.475,00 ;"b""Sheriff\\s Office""";Sheriff Domestic Violence;Fulltime-Regular;Deputy Sheriff III;2006
1827;F; 66.033,42 ;Department of Health and Human Services;Access to Behavioral Health Services;Fulltime-Regular;Therapist II;2012
1828;M; 106.501,00 ;Fire and Rescue Services;Station 14;Fulltime-Regular;Fire/Rescue Captain;2002
1829;M; 69.316,94 ;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2007
1830;M; 92.756,70 ;Department of Police;ISB Criminal Investigations Division 3rd District Investigative Section;Fulltime-Regular;Police Officer III;1987
1831;F; 69.222,18 ;Department of Police;ISB Major Crimes Division Fugitive Section;Fulltime-Regular;Office Services Coordinator;1980
1832;M; 114.087,02 ;Fire and Rescue Services;Fifth Battalion - Administration;Fulltime-Regular;Fire/Rescue Captain;1990
1833;F; 44.945,53 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2004
